date,total_count,avg_cb_price,pr75_price,pr90_price,avg_conversion_value,avg_premium_rate,count_conversion_value_ge_100,count_conversion_value_ge_120,count_premium_rate_gt_0,count_premium_rate_ge_50,count_premium_rate_ge_100,price_bin_lt95,price_bin_95_100,price_bin_100_105,price_bin_105_110,price_bin_110_120,price_bin_ge120
2026-07-19,376,134.64,133.0,202.0,94.43,51.73,113,55,348,136,49,21,54,85,28,46,142
2026-07-20,375,132.6,131.35,195.0,94.26,50.06,111,53,346,131,46,20,56,83,31,50,135
2026-07-21,375,133.23,134.0,199.0,100.36,46.04,123,70,340,124,49,19,58,80,31,48,139
2026-07-22,376,134.07,134.95,200.0,101.22,46.07,122,71,341,123,47,18,63,73,32,46,144
2026-07-23,377,133.7,135.0,200.0,100.91,46.26,123,74,335,128,49,20,60,76,29,51,141
2026-07-24,382,132.82,133.0,194.0,99.52,46.79,122,73,355,129,52,19,64,77,26,57,139
2026-07-27,377,131.95,130.95,193.0,99.38,46.0,121,68,344,125,48,19,62,76,27,60,133
2026-07-28,376,129.42,127.8,184.0,96.72,46.31,116,65,351,128,45,20,66,74,30,60,126
2026-07-29,377,126.87,124.1,178.0,94.33,48.41,105,64,359,139,42,21,70,73,36,60,117
2026-07-31,378,126.89,126.45,179.0,96.35,45.85,113,70,358,135,38,21,71,68,38,60,120
2026-08-03,377,128.18,128.0,187.0,97.71,44.27,115,66,340,120,46,20,72,68,33,65,119
2026-08-04,377,129.28,128.7,193.0,102.32,41.21,123,82,337,112,36,20,71,67,31,65,123
2026-08-05,378,130.66,130.0,199.0,104.67,39.57,128,85,337,110,35,20,69,71,28,62,128
2026-08-06,378,131.34,131.7,198.0,101.83,42.89,124,75,334,117,45,20,69,69,30,60,130
2026-08-07,381,130.92,130.05,197.0,104.89,39.12,129,86,354,105,34,19,69,69,31,60,133
2026-08-10,376,130.24,130.2,193.0,101.46,42.07,123,72,334,112,45,19,66,70,27,58,136
2026-08-11,376,129.7,130.05,193.0,105.28,37.97,132,87,339,98,32,19,67,71,27,60,132
2026-08-13,378,131.34,132.0,195.0,99.92,42.97,126,74,339,120,35,22,58,76,31,58,133
2026-08-14,379,130.96,131.0,194.0,106.34,38.27,127,91,343,99,34,22,55,81,32,57,132
2026-08-17,380,131.01,131.0,189.0,106.76,38.0,125,92,341,100,34,22,57,79,34,55,133
2026-08-18,383,130.92,130.0,188.0,105.28,39.21,127,89,355,104,34,24,57,79,32,63,128
2026-08-19,383,130.47,129.95,188.0,98.14,43.59,121,74,359,124,39,23,56,80,33,63,128
2026-08-20,383,130.04,130.0,188.0,98.42,42.96,124,74,358,123,37,22,59,78,36,59,129
2026-08-21,383,129.46,129.7,183.0,104.82,37.72,128,89,350,102,32,22,59,78,36,59,129
2026-08-24,383,129.39,128.5,183.0,104.21,38.39,125,89,357,101,34,22,60,76,39,56,130
2026-08-25,384,129.12,128.2,181.0,105.09,37.7,128,86,342,101,34,22,60,75,41,58,128
2026-08-26,384,130.18,129.2,186.0,107.11,36.34,134,90,327,94,33,22,59,74,37,58,134
2026-08-28,384,131.11,130.85,190.0,101.91,43.65,126,72,342,117,53,20,63,72,39,53,137
2026-08-29,384,130.74,132.0,189.0,100.82,44.27,127,71,349,119,53,21,62,70,40,54,137
2026-09-01,383,130.61,131.5,187.0,100.49,44.54,124,70,345,122,53,22,60,70,42,54,135
2026-09-02,380,130.8,132.5,193.0,107.4,36.71,133,92,348,100,32,19,62,73,40,51,135
2026-09-03,381,129.91,131.1,184.0,104.44,39.03,130,87,363,103,34,17,63,73,42,52,134
2026-09-04,381,130.04,131.5,188.0,99.34,45.24,122,66,344,123,53,18,62,73,42,53,133
2026-09-08,382,130.36,130.1,183.0,99.1,46.15,116,65,348,126,54,17,66,72,43,51,133
2026-09-09,382,130.5,130.0,184.0,99.16,46.26,114,66,344,123,53,17,67,74,41,48,135
2026-09-10,383,130.0,130.0,184.0,104.85,39.6,123,86,352,100,35,18,67,73,46,48,131
2026-09-11,384,129.37,128.35,183.0,97.76,47.15,114,65,355,121,55,19,66,76,43,48,132
2026-09-15,382,128.7,127.0,177.0,101.43,42.48,117,81,360,109,38,17,69,76,46,45,129
2026-09-16,381,128.11,127.95,177.0,102.11,41.2,118,82,349,104,36,16,70,75,47,47,126
2026-09-17,380,128.32,128.5,180.0,102.77,40.47,122,82,348,103,33,16,68,77,43,51,125
2026-09-18,380,128.57,129.7,181.0,104.47,38.74,125,83,333,97,35,16,68,76,42,52,126
2026-09-22,377,129.33,129.75,183.0,105.05,38.47,123,84,341,96,34,16,67,76,40,49,129
